SampleID	SubjectID	GDColl	type
SRR9865505	N035	45	1
SRR9865768	N037	45	1
SRR9865502	N005	46	1
SRR9865435	N012	46	1
SRR9865480	N019	46	1
SRR9865797	TT0132B	46	2
SRR9865463	N002	47	1
SRR9865773	N003	47	1
SRR9865699	N015	47	1
SRR9865548	N016	47	1
SRR9865840	N010	48	1
SRR9865757	N021	48	1
SRR9865645	TT0122A	48	2
SRR9865715	TT0143A	48	1
SRR9865815	TT0181A	48	2
SRR9865690	TT0181B	48	2
SRR9865445	TT0122B	49	2
SRR9865425	N027	50	1
SRR9865636	N030	50	1
SRR9865535	N041	50	1
SRR9865466	TT0101B	50	1
SRR9865631	TT0132A	50	2
SRR9865501	N005	51	1
SRR9865552	N014	51	1
SRR9865839	N028	51	1
SRR9865606	N020	53	1
SRR9865453	N040	54	1
SRR9865508	N035	55	2
SRR9865832	N007	56	1
SRR9865456	N033	56	1
SRR9865772	N003	57	1
SRR9865672	N010	57	1
SRR9865752	N030	57	1
SRR9865527	N038	57	1
SRR9865464	N002	58	1
SRR9865504	N005	58	3
SRR9865669	N009	59	1
SRR9865433	N011	60	1
SRR9865761	N018	61	1
SRR9865756	N021	61	1
SRR9865701	N036	61	1
SRR9865656	N001	63	1
SRR9865771	N003	63	1
SRR9865477	N033	63	1
SRR9865528	N038	63	1
SRR9865688	N015	64	1
SRR9865641	TT0160B	64	1
SRR9865417	TT0185A	65	1
SRR9865616	N041	66	1
SRR9865599	TT0108A	66	3
SRR9865778	TT0108B	66	2
SRR9865551	N014	67	1
SRR9865530	N031	67	1
SRR9865594	TT0168A	67	1
SRR9865461	N002	68	1
